Intent,Confidence
greet,0.9666936398
goodbye,0.9423382282
bot_challenge,0.9152755141
thanks,0.9461011887
asking_morn_temp,0.8943892121
asking_eve_temp,0.8750740886
asking_night_temp,0.9301350713
asking_min_temp,0.8796513081
asking_max_temp,0.8733561635
asking_min_max_temp,0.9114827514
asking_humidity,0.8663153052
asking_air_pressure,0.8987780213
asking_wind_speed,0.8924344182
asking_uv_index,0.8925272822
asking_weather,0.9243677855
asking_about_rain,0.9923033714
asking_about_clouds,0.9755894542
asking_about_snow,0.9680061936
asking_about_smog,0.9406524897
asking_about_dust_storm,0.9622105956
telling_city,0.8975709081
telling_day,0.9365150928
asking_morn_temp_for_city,0.9545975327
asking_eve_temp_for_city,0.9143398404
asking_night_temp_for_city,0.9376009703
asking_min_temp_for_city,0.8875798583
asking_max_temp_for_city,0.9006637335
asking_min_max_temp_for_city,0.9349256158
asking_humidity_for_city,0.9061778784
asking_air_pressure_for_city,0.9197497368
asking_wind_speed_for_city,0.8710819483
asking_uv_index_for_city,0.9679892063
asking_weather_for_city,0.9473435879
asking_about_rain_for_city,0.992223084
asking_about_clouds_for_city,0.9607461691
asking_about_snow_for_city,0.9712013602
asking_about_smog_for_city,0.9632893801
asking_about_dust_storm_for_city,0.9797059894
asking_morn_temp_for_day,0.9328168035
asking_eve_temp_for_day,0.8958473802
asking_night_temp_for_day,0.8136041164
asking_min_temp_for_day,0.8771156073
asking_max_temp_for_day,0.8869345188
asking_min_max_temp_for_day,0.9057227969
asking_humidity_for_day,0.8722987175
asking_air_pressure_for_day,0.9029032588
asking_wind_speed_for_day,0.9208982587
asking_uv_index_for_day,0.8033697605
asking_weather_for_day,0.922211349
asking_about_rain_for_day,0.984655261
asking_about_clouds_for_day,0.9550701976
asking_about_snow_for_day,0.9719922543
asking_about_smog_for_day,0.9348350763
asking_about_dust_storm_for_day,0.9601001143
asking_morn_temp_for_day_and_city,0.9615520239
asking_eve_temp_for_day_and_city,0.9168679118
asking_night_temp_for_day_and_city,0.8566784263
asking_min_temp_for_day_and_city,0.8918896914
asking_max_temp_for_day_and_city,0.9021537304
asking_min_max_temp_for_day_and_city,0.8952186704
asking_humidity_for_day_and_city,0.9023723602
asking_air_pressure_for_day_and_city,0.9272821546
asking_wind_speed_for_day_and_city,0.8894373178
asking_uv_index_for_day_and_city,0.9495045543
asking_weather_for_day_and_city,0.9467499852
asking_about_rain_for_day_and_city,0.9868500233
asking_about_clouds_for_day_and_city,0.9611510038
asking_about_snow_for_day_and_city,0.9734159708
asking_about_smog_for_day_and_city,0.9308809042
asking_about_dust_storm_for_day_and_city,0.9574721456
asking_about_fertilizer_price,0.9638411999
asking_about_pesticide_price,0.9659560919
asking_about_machinery_price,0.961766243
